outcome,exposure,model,lag_years,n_obs,years,irr_per_10pct,ci_low,ci_high,p,leave_one_region_out_range,analysis
"TB, UK born",rate_proton_pump_inhibitors,FE only,3,72,2017-2024,1.0339040492889453,0.839905827996914,1.2727112344075857,0.7209929918457427,0.977-1.092,lagged exposure
"TB, UK born",rate_proton_pump_inhibitors,FE + migration + age,3,72,2017-2024,1.1863249322536096,0.9525837181196762,1.4774206383293642,0.11030559958345962,1.106-1.300,lagged exposure
"TB, UK born",rate_proton_pump_inhibitors,FE only,1,72,2015-2024,0.9397830239468936,0.7397231808982336,1.1939495136901375,0.5661880429936783,0.881-1.109,"lagged, excluding 2020-21"
"TB, UK born",rate_proton_pump_inhibitors,FE + migration + age,1,72,2015-2024,0.9950171792343975,0.7303866685262853,1.355527461870625,0.971193536256183,0.928-1.156,"lagged, excluding 2020-21"
"TB, UK born",rate_proton_pump_inhibitors,FE only,2,63,2016-2024,0.9374884872180346,0.7846376298293124,1.1201153631359089,0.42723507805118055,0.890-1.031,"lagged, excluding 2020-21"
"TB, UK born",rate_proton_pump_inhibitors,FE + migration + age,2,63,2016-2024,0.9650224138930367,0.7606229517498532,1.2243494061985793,0.7390254465478827,0.906-1.059,"lagged, excluding 2020-21"
"TB, UK born",rate_proton_pump_inhibitors,FE only,3,54,2017-2024,1.0411130416357344,0.8424994666642648,1.2865484292299854,0.6723244855815382,0.984-1.114,"lagged, excluding 2020-21"
"TB, UK born",rate_proton_pump_inhibitors,FE + migration + age,3,54,2017-2024,1.197976684522473,0.9777530114093719,1.46780231808315,0.07443884722653847,1.112-1.292,"lagged, excluding 2020-21"
"TB, UK born",rate_proton_pump_inhibitors,FE only,-1,99,2013-2023,0.9458397503371795,0.7407362854998383,1.2077345889896915,0.6136048571109043,0.882-1.115,lead (falsification)
"TB, UK born",rate_proton_pump_inhibitors,FE + migration + age,-1,99,2013-2023,1.0203391727231108,0.752262359766048,1.3839480520028407,0.882696834047025,0.941-1.203,lead (falsification)
"TB, UK born",rate_proton_pump_inhibitors,FE only,-2,99,2012-2022,0.9402507827681392,0.7758282441262438,1.1395196568175485,0.4809569686337461,0.908-1.106,lead (falsification)
